time,type,x,y,voltage,angle,pos,
2.25,path,3.848711171805589,3.549538144488273,7.95559090839364,71.17472543984037,5.700000000000003,
2.25,robot,3.902498538000626,3.7222910371359714,7.95559090839364,70.34783172504629,5.836233349434782,
2.3000000000000003,path,3.8968393812009046,3.691607320163892,7.912612768940464,71.38280233468292,5.850000000000003,
2.3000000000000003,robot,3.951354614937042,3.8647673100186517,7.912612768940464,71.0728118617261,5.98685341645162,
2.35,path,3.9445491675048157,3.8338176104627113,7.850606067256672,71.51225608571939,6.0000000000000036,
2.35,robot,3.9986796814195804,4.00768348263675,7.850606067256672,71.67829779035361,6.137401396555582,
2.4000000000000004,path,3.9920342084634135,3.9761031308262065,7.79580805686051,71.56396051022128,6.150000000000004,
2.4000000000000004,robot,4.045129545443483,4.150615056392396,7.79580805686051,71.99688891486656,6.2876911987515545,
2.45,path,4.0394869732474445,4.118399422709802,7.76682783726328,71.53826474916762,6.300000000000004,
2.45,robot,4.091662989306035,4.293188480080496,7.76682783726328,71.92423317736312,6.437666338490965,
2.5,path,4.087099757005719,4.2606422315977,7.769313863322248,71.43499527972793,6.450000000000005,
2.5,robot,4.139286143990807,4.435142552033913,7.769313863322248,71.45428104161135,6.587395839279171,
2.5500000000000003,path,4.135065716536829,4.402766289562583,7.79636378450166,71.25345490885267,6.600000000000005,
2.5500000000000003,robot,4.188782659445865,4.576348163775856,7.79636378450166,70.68300939482522,6.737025147336147,
2.6,path,4.1835799002699385,4.5447040752536125,7.8334329788041455,70.99241885386257,6.750000000000005,
2.6,robot,4.240520038479379,4.716805840450295,7.8334329788041455,69.77879918474049,6.886708530936461,
2.6500000000000004,path,4.232840264459172,4.686384523987094,7.865094618772806,70.6501283489282,6.900000000000006,
2.6500000000000004,robot,4.294393032939015,4.856628975491622,7.865094618772806,68.92863274784335,7.036551143783519,
2.7,path,4.283048664594382,4.827731660298207,7.88083333406704,70.2242826010496,7.050000000000006,
2.7,robot,4.349921218455043,4.99600361368003,7.88083333406704,68.27719101476889,7.186580038190069,
2.75,path,4.3344118063031,4.968663125059695,7.8779438934120325,69.7120303973142,7.200000000000006,
2.75,robot,4.406471070428662,5.1351182643595275,7.8779438934120325,67.87834751926931,7.336749182130882,
2.8000000000000003,path,4.387142133328471,5.109088569872219,7.861029499330764,69.10996328087003,7.350000000000007,
2.8000000000000003,robot,4.463534315008194,5.274079164288816,7.861029499330764,67.67486545146674,7.486970171313823,
2.85,path,4.441458620349806,5.248907891314984,7.838930581036708,68.41411302501297,7.500000000000007,
2.85,robot,4.52097413748815,5.412843031558458,7.838930581036708,67.51341255373934,7.637152540672399,
2.9000000000000004,path,4.497587426558271,5.388009281908245,7.820693645179167,67.61995718195936,7.6500000000000075,
2.9000000000000004,robot,4.579156332824376,5.551191218884846,7.820693645179167,67.19085959833247,7.787237146114263,
2.95,path,4.5557623493317605,5.526267078366279,7.812233100992772,66.72243783830442,7.800000000000008,
2.95,robot,4.638916271010936,5.68874533835113,7.812233100992772,66.51762093969319,7.937211763947436,
3.0,path,4.616224997530853,5.663539397661641,7.814771317675474,65.71600039272776,7.950000000000008,
3.0,robot,4.701367285136936,5.82501101657858,7.814771317675474,65.3778558525009,8.087106607848595,
3.0500000000000003,path,4.679224580505701,5.799665568412229,7.825286927559661,64.59466117605841,8.100000000000009,
3.0500000000000003,robot,4.767612927217287,5.959443591704509,7.825286927559661,63.76685855984038,8.236975224809006,
3.1,path,4.745017180487712,5.934463387382704,7.838425231518565,63.35211501048216,8.250000000000009,
3.1,robot,4.838462126060338,6.091538221830409,7.838425231518565,61.79303369432957,8.386870522549797,
3.1500000000000004,path,4.813864346881013,6.067726267968979,7.8488954574394985,61.981896094671356,8.40000000000001,
3.1500000000000004,robot,4.914246829968699,6.220933752252338,7.8488954574394985,59.64323852562207,8.536825597954568,
3.2,path,4.886030824489094,6.199220401218799,7.853387916962463,60.477607444105686,8.55000000000001,
3.2,robot,4.994803461183606,6.347490391830671,7.853387916962463,57.522174051186184,8.68684544282202,
3.25,path,4.961781206114729,6.3286821149267904,7.8514034302172195,58.83323481100175,8.70000000000001,
3.25,robot,5.079617547400966,6.471288961404112,7.8514034302172195,55.58505590875742,8.836910478887441,
3.3000000000000003,path,5.041375300986259,6.45581570869282,7.844899823675201,57.04355919736053,8.85000000000001,
3.3000000000000003,robot,5.168074003430022,6.592527698978581,7.844899823675201,53.88530206461175,8.986988378998921,
3.35,path,5.125062040232129,6.580292142115389,7.837109812527233,55.10467625785165,9.00000000000001,
3.35,robot,5.259726535880772,6.711345999893822,7.837109812527233,52.35458618430518,9.137048284826628,
3.4000000000000004,path,5.213071823068684,6.701749060308271,7.83111922975659,53.01461903601592,9.150000000000011,
3.4000000000000004,robot,5.354499967007656,6.8276432302975225,7.83111922975659,50.82257455662349,9.28707177981036,
3.45,path,5.305607357977115,6.819792727085913,7.82876973138349,50.77406101747337,9.300000000000011,
3.45,robot,5.452758791617794,6.940960660203516,7.82876973138349,49.071071536576994,9.437057234219331,
3.5,path,5.402833284178525,6.934002466326525,7.830224290486344,48.38704915178112,9.450000000000012,
3.5,robot,5.555210888484394,7.050466639111828,7.830224290486344,46.90607770833879,9.587017200773845,
3.5500000000000003,path,5.504865165044859,7.04393813932086,7.834227635035008,45.86168391772853,9.600000000000012,
3.5500000000000003,robot,5.662668879389498,7.155056134290718,7.834227635035008,44.22497230459783,9.736971134737368,
3.6,path,5.611758790415063,7.149150961645047,7.838834238682702,43.210632722802266,9.750000000000012,
3.6,robot,5.775751850604147,7.253554853021672,7.838834238682702,41.056858914536505,9.886936984084388,
3.6500000000000004,path,5.723501033096797,7.249197559128728,7.842249303980809,40.45134567441326,9.900000000000013,
3.6500000000000004,robot,5.894646201409759,7.344990720173769,7.842249303980809,37.562134916939904,10.036924931784673,
3.7,path,5.840003667038782,7.343656601220737,7.843454533952277,37.60585299625607,10.050000000000013,
3.7,robot,6.019024688995731,7.428854067447082,7.843454533952277,33.990183323099195,10.186935162069338,
3.75,path,5.961101454873292,7.432146724719276,7.842431505485893,34.70007133557521,10.200000000000014,
3.75,robot,6.148146989969547,7.505239883640866,7.842431505485893,30.607593646663936,10.336959698477097,
3.8000000000000003,path,6.086555385032975,7.514343937969173,7.8399778647100025,31.762630384753937,10.350000000000014,
3.8000000000000003,robot,6.281775439500198,7.573442441780054,7.8399778647100025,27.0392892683472,10.486986867552218,
3.85,path,6.216061214115711,7.5899964628821825,7.837260957197879,28.823333372486314,10.500000000000014,
3.85,robot,6.419205254975761,7.633599436163445,7.837260957197879,23.640382159415516,10.63700626014828,
3.9000000000000004,path,6.3492626068714735,7.658935167228382,7.835321697591825,25.911453101783337,10.650000000000015,
3.9000000000000004,robot,6.55952520764871,7.686628850376426,7.835321697591825,20.70247341052458,10.78701228632693,
3.95,path,6.485767401269789,7.721078364536404,7.834719079726705,23.05410689270553,10.800000000000015,
3.95,robot,6.701871712715248,7.733908606061586,7.834719079726705,18.37367662095316,10.937005295505047,
4.0,path,6.6251650753139675,7.776430656632694,7.8354181619151095,20.274932726843563,10.950000000000015,
4.0,robot,6.845589273251884,7.776812796526117,7.8354181619151095,16.62201104447847,11.08699031731062,
4.05,path,6.767043479854201,7.825076418600655,7.836915981357807,17.593213410440214,11.100000000000016,
4.05,robot,6.990290014694612,7.816270383762291,7.836915981357807,15.252814760138389,11.236974335674496,
4.1000000000000005,path,6.911003277969597,7.867169226928953,7.8385141449702775,15.023494682189012,11.250000000000016,
4.1000000000000005,robot,7.135839916028636,7.8524910483448505,7.8385141449702775,13.974424353885102,11.386963369677474,
4.15,path,7.056669130535924,7.9029188679859255,7.839610744672521,12.575650727566382,11.400000000000016,
4.15,robot,7.2822860679046695,7.884935654193589,7.839610744672521,12.491898436665531,11.536960462475896,
4.2,path,7.203697318080055,7.932577540274908,7.839901464830335,10.255289614537617,11.550000000000017,
4.2,robot,7.429730871603317,7.912529724783282,7.839901464830335,10.600197331339864,11.68696513863448,
4.25,path,7.35178000504393,7.956426569398059,7.839433848971945,8.064369111653015,11.700000000000017,
4.25,robot,7.57818154785072,7.9340965882777015,7.839433848971945,8.266079884640732,11.836974247955542,
4.3,path,7.500646688084675,7.974764540026692,7.838522916865843,6.00190251025517,11.850000000000017,
